PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
486,2,male,32.4,0,0,90.39,S,0
468,3,male,64.1,1,0,7.55,S,0
138,3,male,47.6,0,0,6.04,S,0
654,2,female,18.4,0,0,98.6,S,1
127,3,male,56.9,0,3,21.67,S,0
629,1,male,19.4,0,2,47.11,S,0
203,2,female,36.4,0,1,13.53,S,0
177,1,female,58.7,0,0,102.6,S,0
137,2,male,39.7,1,0,67.81,S,1
73,2,male,21.2,0,0,18.12,S,0
622,3,male,35.5,0,0,58.56,S,1
624,3,male,25.7,1,0,5.0,C,0
1,2,male,39.6,0,0,11.56,S,0
23,3,female,53.3,1,1,16.6,S,0
562,1,male,40.0,0,0,33.16,S,0
51,1,male,39.3,0,0,51.17,S,0
750,2,female,21.6,0,0,32.16,S,0
363,3,female,50.0,2,0,74.9,S,0
181,2,male,54.6,1,1,23.19,S,0
230,1,male,30.7,0,0,39.57,S,0
263,2,male,38.5,2,1,5.0,Q,0
279,3,female,52.9,2,1,5.0,C,0
200,3,female,32.5,1,2,38.72,S,0
300,2,male,39.9,0,1,16.38,S,0
949,1,male,40.7,0,1,6.06,S,0
44,1,female,38.5,1,1,22.08,S,0
438,3,male,19.0,0,0,53.28,Q,0
306,2,male,19.2,0,0,9.38,S,0
38,3,male,22.4,1,0,51.59,Q,0
735,2,male,39.2,0,0,37.66,S,0
81,1,male,41.9,0,0,43.31,C,0
110,2,male,9.1,1,0,5.0,S,0
310,1,male,61.0,2,0,8.34,S,0
89,2,male,42.2,0,0,12.51,S,0
188,3,male,16.6,0,0,5.0,S,0
687,3,male,46.9,0,0,17.72,S,0
850,1,female,49.5,2,1,13.71,S,0
961,2,female,59.3,0,0,10.77,C,0
500,3,female,12.6,0,0,37.48,S,0
25,1,female,28.6,0,0,56.13,S,1
960,2,male,41.1,0,2,5.0,S,0
757,3,male,21.2,0,0,28.77,S,1
746,1,male,49.0,0,0,33.08,S,0
749,2,male,29.4,0,0,11.74,S,0
158,3,female,49.7,1,0,53.58,S,1
613,3,male,13.6,0,0,5.0,C,0
763,2,female,46.1,0,0,8.88,S,0
766,3,male,8.2,0,0,13.42,S,0
332,2,male,44.6,1,1,50.35,S,0
140,1,male,78.7,0,0,40.56,S,1
346,2,male,4.1,0,1,31.89,S,0
811,1,male,32.0,0,0,47.14,S,0
141,1,male,41.2,0,0,6.05,C,0
683,3,male,53.8,0,0,45.64,S,0
685,1,female,28.5,0,1,58.14,C,0
264,3,male,26.7,0,0,38.28,S,0
345,2,male,59.2,0,0,5.0,Q,0
248,1,female,62.6,2,0,56.75,S,0
797,1,male,49.9,0,0,64.5,S,0
880,3,female,34.6,1,0,9.5,S,1
989,1,female,30.5,0,0,24.52,S,1
338,2,male,39.7,2,0,29.33,Q,0
758,2,male,47.8,0,1,53.84,S,0
615,2,male,22.9,1,0,34.31,C,0
708,2,female,43.4,0,1,58.54,S,1
785,2,male,35.2,0,0,16.59,S,0
497,2,female,7.5,1,0,25.32,S,0
617,3,male,45.7,0,0,25.8,S,0
941,3,female,38.2,0,1,5.0,S,0
909,3,male,36.0,0,0,18.19,S,0
46,1,male,38.3,1,0,9.9,S,0
771,1,male,60.9,0,0,35.49,C,0
114,3,male,13.3,1,0,17.1,C,0
487,3,female,23.3,1,1,44.64,S,0
573,3,male,38.9,0,1,18.32,C,0
770,2,female,60.2,0,0,32.67,Q,0
550,3,male,44.9,0,0,7.78,S,0
579,3,male,31.2,0,0,13.85,S,0
979,2,male,13.7,1,0,17.17,S,0
472,2,female,28.9,0,2,61.35,C,0
55,1,male,27.9,0,0,21.69,S,0
589,2,male,38.5,0,1,64.73,Q,0
85,3,male,17.1,0,0,5.0,S,0
821,1,male,27.8,4,0,62.97,S,0
881,3,male,38.4,1,0,5.0,C,0
400,2,male,24.4,4,0,53.39,Q,0
931,1,male,35.1,1,1,55.17,C,0
309,2,female,43.7,0,1,5.0,C,0
251,3,male,29.5,0,0,29.29,S,0
748,2,male,42.7,0,0,12.32,S,0
762,1,male,44.5,0,0,26.05,S,0
70,3,female,32.1,1,0,15.32,S,0
222,3,male,38.6,0,0,25.56,S,0
475,1,male,44.3,0,0,10.88,S,0
943,3,male,42.4,0,1,5.0,Q,0
355,1,male,51.0,0,0,5.0,C,0
115,1,male,36.1,0,0,5.0,S,0
519,1,male,48.5,2,0,56.66,Q,0
54,2,male,30.2,2,0,8.24,S,0
43,2,male,25.0,1,0,5.0,S,0
835,3,male,23.7,2,1,46.48,S,0
131,3,female,29.2,0,0,41.0,Q,0
501,3,male,55.5,0,1,30.47,C,0
563,2,female,35.8,0,0,26.73,S,0
543,3,male,38.7,0,1,9.77,S,0
726,3,female,56.9,0,1,22.41,S,0
189,3,male,14.5,0,0,5.0,S,0
361,3,female,32.7,0,0,7.57,S,0
393,3,female,27.9,0,0,7.36,C,0
529,2,female,38.9,0,0,34.44,S,0
52,2,male,44.5,3,0,18.58,S,0
920,1,female,6.8,2,2,33.18,S,1
937,3,male,17.7,0,0,5.0,S,0
817,1,male,29.0,1,0,7.33,Q,1
12,2,male,46.7,0,0,7.43,S,0
228,3,female,63.2,0,3,5.37,C,0
88,1,male,35.2,2,0,16.74,S,0
636,3,male,30.7,0,0,5.31,S,0
637,2,male,32.2,0,0,24.45,S,0
42,2,male,43.1,0,0,20.8,S,0
95,2,female,9.7,0,0,11.74,S,0
424,1,female,12.8,4,0,17.31,C,0
852,3,male,27.7,0,0,43.25,C,0
9,1,female,34.7,0,0,68.74,S,0
558,2,female,19.5,1,1,41.42,S,0
700,3,female,32.0,0,0,9.75,C,0
122,1,male,37.7,0,0,51.77,C,0
403,3,male,47.3,0,0,14.49,S,0
348,1,female,43.9,0,0,11.76,S,1
217,1,female,43.1,0,0,51.87,S,0
747,2,male,62.0,0,1,7.45,S,0
611,2,male,19.5,2,0,24.88,S,0
62,1,male,30.0,1,0,7.79,S,0
495,2,male,30.4,1,0,18.54,Q,0
441,2,male,32.2,0,0,11.81,S,0
57,2,male,30.9,0,0,54.17,S,0
14,3,female,51.9,1,0,63.72,S,0
362,3,female,40.8,0,0,64.36,S,0
98,3,male,20.0,0,0,5.0,S,0
211,2,male,48.7,1,1,17.93,S,0
79,3,female,44.4,1,0,5.0,S,0
314,1,female,41.6,0,1,29.85,S,0
926,2,male,63.2,0,0,9.42,C,1
231,3,male,13.0,1,0,5.0,Q,0
842,3,male,35.5,0,2,32.06,C,0
224,2,female,18.7,0,1,42.01,C,0
530,3,female,58.5,0,0,59.48,S,1
423,2,male,26.1,2,0,69.34,S,0
349,2,female,11.3,0,2,40.58,S,0
783,2,male,62.0,1,1,11.5,S,0
491,1,male,51.3,1,0,33.02,S,0
288,2,female,35.8,3,0,15.98,S,0
396,1,female,37.1,0,0,27.17,S,0
873,1,male,45.9,0,0,25.05,S,0
898,2,male,22.1,0,1,5.0,S,0
526,2,male,28.4,0,0,29.29,Q,0
595,1,female,15.8,0,0,5.0,C,0
854,1,male,35.5,0,1,17.43,S,0
21,2,female,32.2,0,0,20.09,C,1
284,1,male,41.8,1,0,14.27,C,0
855,3,female,39.2,2,0,28.94,S,0
135,1,female,12.9,1,0,43.56,S,0
580,3,male,40.5,0,0,22.25,Q,0
483,2,female,36.4,1,0,7.74,S,0
339,2,male,52.3,0,0,11.13,S,0
377,2,male,31.9,0,0,11.0,S,0
681,1,male,47.3,0,2,5.0,S,0
886,2,male,39.3,0,0,17.67,S,0
965,1,male,34.5,0,0,22.83,S,1
395,2,male,45.5,3,1,18.21,S,0
166,3,male,21.5,0,1,12.76,S,0
216,1,male,50.0,2,0,50.08,C,0
592,3,male,38.7,1,0,27.02,S,0
292,3,male,37.3,0,0,33.11,S,0
186,3,male,58.0,1,1,15.09,Q,0
305,2,male,34.1,0,0,55.05,S,0
945,3,male,39.3,1,0,15.66,S,0
919,2,male,55.5,0,0,5.0,S,0
537,1,male,26.9,0,0,110.31,S,0
575,3,male,37.8,0,0,38.19,S,0
839,1,female,62.6,0,0,33.29,C,0
569,1,male,43.2,1,1,33.63,S,0
202,2,female,56.1,4,2,5.0,S,0
672,1,male,39.1,0,1,7.09,S,0
148,1,male,32.9,1,0,17.78,S,0
719,2,male,29.7,1,1,6.65,S,0
410,2,female,15.6,1,0,95.78,S,1
233,3,male,39.7,1,0,10.27,S,0
656,1,female,39.8,0,1,5.0,S,0
698,2,male,20.5,1,0,21.49,C,0
836,2,male,21.6,1,0,5.28,S,0
990,1,male,27.8,1,1,8.29,S,0
597,3,male,27.2,0,1,6.6,S,0
977,3,male,51.6,4,0,16.45,Q,0
686,3,male,27.8,2,0,16.0,S,0
906,2,male,65.9,0,2,5.0,S,0
635,3,female,30.3,0,1,11.33,S,0
77,3,female,28.6,0,1,20.2,S,0
276,3,male,40.8,1,0,12.87,S,0
533,3,male,28.3,2,0,5.0,S,0
671,2,male,46.8,1,0,17.48,S,0
121,3,male,19.6,0,0,27.55,S,0
218,3,female,55.1,2,1,41.61,S,0
612,3,female,38.5,2,1,73.51,S,0
598,3,male,47.2,1,0,8.66,C,0
544,2,female,32.3,1,0,11.18,S,0
847,1,male,80.0,1,0,8.04,C,0
301,2,male,60.9,0,0,77.04,S,0
551,3,female,40.8,0,0,43.08,S,0
899,2,male,42.2,0,0,39.38,S,0
80,3,female,30.4,0,2,17.94,Q,0
733,2,male,43.2,0,0,43.57,S,0
407,1,male,33.2,1,0,25.98,S,0
848,1,male,47.8,1,1,6.62,S,0
293,1,male,57.1,0,0,73.85,S,0
918,1,male,42.9,1,0,46.09,S,0
294,2,female,1.0,1,0,13.41,S,0
731,3,male,41.7,1,0,6.87,S,0
673,3,male,24.3,0,0,19.92,S,0
245,1,female,66.9,1,0,42.03,S,0
980,3,male,41.7,0,0,13.31,S,0
192,3,male,32.3,3,0,51.88,C,0
287,3,male,39.0,1,2,23.78,S,0
502,1,female,48.4,0,0,9.57,S,0
962,3,male,37.0,0,0,24.46,S,0
193,3,female,29.3,2,0,12.8,S,0
923,3,male,36.8,2,1,5.0,S,0
602,2,male,26.3,0,0,5.0,S,0
830,2,male,1.0,2,0,6.32,S,0
241,3,male,21.8,1,0,18.5,S,0
369,3,male,38.0,0,0,34.57,S,0
422,3,female,22.4,0,0,5.0,S,0
523,3,male,55.0,0,1,47.75,S,0
712,1,male,45.5,0,3,20.57,S,0
691,2,male,39.7,2,0,20.71,S,0
832,2,male,58.4,0,1,5.0,S,0
845,3,male,37.0,2,0,15.49,C,0
925,2,male,32.5,0,2,23.33,S,0
668,1,male,42.2,1,0,44.95,S,0
249,3,male,78.6,1,2,77.25,S,0
705,1,female,50.7,0,0,59.16,Q,0
476,2,male,29.9,0,0,21.54,S,0
516,1,female,40.2,1,1,40.52,S,1
469,2,female,51.6,2,0,5.0,S,0
258,1,male,29.4,0,0,63.79,C,0
976,3,male,19.4,0,0,19.81,Q,0
675,3,male,47.5,0,2,32.09,S,0
408,1,female,47.4,0,0,12.19,C,1
985,3,male,40.6,0,0,10.14,S,0
988,2,male,40.0,0,0,58.89,C,0
838,3,female,56.4,2,0,38.63,C,0
684,3,male,27.2,0,1,59.77,C,0
604,2,male,25.6,0,0,13.42,S,0
856,1,male,35.2,0,0,12.21,S,0
790,3,female,32.7,0,0,12.78,S,0
908,3,male,15.8,0,1,5.83,C,0
220,1,male,24.6,4,0,62.8,S,0
358,1,male,39.1,0,2,22.48,S,0
718,3,female,45.3,0,1,21.55,S,0
787,3,male,35.7,2,1,28.74,S,0
769,2,male,15.8,0,0,26.6,S,0
650,1,female,29.1,0,0,26.88,S,0
303,2,male,48.0,0,3,8.07,S,0
921,2,female,30.2,0,0,26.87,S,0
493,3,male,30.7,0,0,8.35,S,0
157,2,female,37.0,2,0,32.39,S,1
725,3,male,21.2,3,0,8.56,S,0
331,2,female,57.7,1,0,14.93,C,0
655,2,male,43.8,1,2,16.26,S,0
271,1,male,24.2,1,0,11.91,S,0
405,2,male,42.8,0,0,10.95,S,0
538,2,male,52.2,2,0,9.53,C,0
492,2,female,40.5,4,2,5.2,S,0
227,1,female,72.8,0,0,48.29,C,0
234,2,male,53.1,4,1,6.04,S,0
822,1,male,56.6,0,2,12.0,S,0
477,2,male,51.0,0,0,8.62,C,0
938,2,male,33.7,1,0,52.9,C,0
784,3,male,48.4,1,0,31.17,S,0
717,3,female,11.5,2,1,10.86,S,0
255,1,female,31.3,0,0,39.31,S,0
601,2,female,42.7,0,1,5.0,C,1
588,2,male,22.4,2,2,5.0,S,0
995,3,female,33.4,0,0,10.41,S,0
954,2,male,17.6,2,0,8.3,S,0
210,3,male,30.0,0,0,5.0,C,0
874,3,male,35.9,0,0,22.12,S,0
760,3,female,41.6,1,0,21.45,S,0
265,1,male,42.1,0,0,5.63,S,0
732,3,male,35.9,0,0,91.04,S,1
87,3,male,28.0,0,0,5.0,S,0
340,2,male,44.1,2,0,98.86,S,0
130,2,male,21.1,0,1,46.43,S,0
584,3,male,18.9,0,0,44.04,S,0
175,2,male,15.8,0,0,8.67,C,0
508,3,female,41.5,1,3,40.9,S,0
373,1,male,47.9,0,1,56.01,Q,0
907,3,male,31.6,0,0,10.22,S,0
318,3,male,24.5,0,0,5.0,S,0
24,2,female,32.7,1,0,19.11,S,0
76,2,female,45.4,0,0,23.67,S,0
60,1,female,49.5,1,2,48.04,S,0
342,3,female,39.6,0,0,81.3,S,0
285,2,male,18.3,0,0,21.58,S,0
932,3,female,41.7,0,0,16.82,C,0
792,2,male,16.2,0,0,22.27,S,0
474,2,female,37.8,4,0,13.17,Q,0
190,1,female,59.8,3,0,22.38,S,0
100,2,male,21.4,0,0,15.17,S,0
503,2,male,24.2,2,0,10.96,S,0
878,2,male,31.7,0,0,64.05,C,0
722,3,male,51.9,0,1,21.81,S,0
897,2,male,24.9,0,0,101.19,S,0
356,3,male,38.5,0,2,5.0,S,0
915,2,male,49.8,0,0,59.82,C,0
84,3,male,29.3,0,0,14.59,S,0
520,2,female,59.4,1,0,116.57,C,1
912,2,male,41.0,2,0,9.92,Q,0
430,3,male,40.9,2,0,5.0,S,0
810,2,male,38.3,0,1,15.02,S,0
582,3,male,17.7,1,2,53.39,S,0
737,1,male,46.7,1,1,18.29,C,0
823,3,female,17.6,0,0,11.08,S,0
534,2,male,41.8,4,2,14.63,S,0
959,3,female,35.0,0,0,33.95,S,0
11,1,male,48.2,0,1,15.28,C,0
536,1,female,44.6,1,0,5.0,C,0
924,2,male,26.4,1,2,31.31,C,1
198,3,male,29.1,0,0,16.98,S,0
482,2,female,56.5,0,0,31.74,C,0
634,2,female,5.9,0,0,44.55,Q,1
449,1,male,51.7,0,0,25.44,S,0
978,2,male,28.8,0,0,9.34,S,0
343,3,male,36.1,0,1,124.08,C,0
194,2,male,56.9,0,0,6.86,S,0
600,2,male,8.4,2,0,5.0,S,0
458,3,male,22.3,1,0,55.17,S,0
124,3,female,55.4,0,0,10.24,S,0
840,3,male,30.0,1,0,5.0,Q,0
94,2,male,33.8,2,0,5.0,S,0
72,3,male,18.0,0,0,13.98,S,0
553,3,male,39.4,2,0,14.74,S,0
677,3,female,70.7,0,0,6.39,S,0
413,1,female,24.8,1,0,33.26,S,0
805,1,male,54.3,0,0,17.1,S,1
58,2,male,57.4,0,0,25.57,S,0
991,2,female,48.1,0,2,5.0,S,0
490,2,female,45.0,0,0,15.48,C,0
542,3,female,22.6,2,0,10.34,S,0
781,2,male,34.2,1,1,6.1,Q,0
593,2,female,62.3,2,0,34.07,C,0
861,3,female,20.3,0,0,5.0,Q,0
327,3,female,11.4,0,0,24.09,C,0
809,2,female,30.2,1,0,13.49,S,0
981,1,female,42.0,4,0,15.86,S,0
274,3,male,66.4,0,1,40.12,C,0
126,2,female,40.4,0,2,36.19,S,0
268,3,male,40.3,0,1,5.27,S,0
256,2,female,46.7,0,0,11.59,S,0
903,3,male,32.8,0,0,24.4,S,1
16,3,female,22.1,0,2,18.82,S,0
676,2,male,40.2,0,1,15.75,S,0
707,2,male,21.3,0,0,5.0,S,0
129,2,male,25.4,2,0,5.0,S,0
614,1,male,41.7,1,0,24.25,S,0
28,1,male,40.5,0,1,7.6,S,0
312,3,male,41.6,0,0,42.16,S,0
82,3,male,25.1,0,0,21.83,C,0
782,2,male,33.8,0,3,38.79,Q,0
374,1,male,47.6,2,1,16.92,C,0
973,3,female,38.3,0,0,5.0,S,1
459,3,male,40.0,1,0,5.0,S,0
846,2,male,40.5,0,0,63.06,C,0
576,2,male,13.2,0,0,27.13,S,0
351,3,female,40.5,0,0,27.9,S,1
992,2,female,57.2,0,0,16.2,S,0
693,3,male,49.3,0,2,27.75,S,0
499,1,male,5.1,0,0,7.27,S,0
432,1,male,42.1,0,0,7.89,Q,0
448,1,female,30.0,0,0,57.56,C,0
609,3,female,9.7,0,0,74.72,C,0
868,2,male,28.9,0,0,9.01,C,1
531,3,male,29.6,0,0,9.27,S,0
401,2,female,32.3,0,0,22.99,C,1
936,1,male,43.8,0,0,83.31,C,0
917,1,male,56.5,0,0,70.14,S,1
618,1,male,38.6,0,0,25.26,Q,0
720,3,male,19.7,0,1,38.15,C,0
559,2,female,16.3,0,1,39.69,S,0
916,1,male,52.4,0,0,5.0,S,0
417,2,female,51.3,0,2,5.0,C,0
326,2,female,46.0,0,0,12.58,S,0
86,2,male,42.3,0,0,64.56,S,0
467,2,female,30.6,0,1,6.95,S,0
834,1,female,29.3,0,0,5.0,S,0
389,1,female,39.1,0,0,23.74,C,0
633,2,male,28.9,0,0,37.18,S,0
541,2,male,9.7,3,1,5.0,S,0
206,3,female,34.3,0,0,8.19,S,0
109,3,male,47.6,4,0,64.63,S,0
801,1,male,22.3,1,0,31.98,S,0
2,3,male,19.4,0,0,6.83,Q,0
282,1,male,8.8,0,2,37.15,C,1
738,2,female,47.1,0,1,21.52,S,0
96,3,female,13.3,1,0,26.2,C,0
871,1,male,39.2,0,1,41.74,S,0
165,3,male,47.6,1,0,13.43,S,0
426,3,male,29.6,0,1,17.56,C,0
74,3,female,42.5,0,0,13.04,S,0
894,1,female,35.6,0,0,19.23,S,0
547,2,female,38.1,0,0,50.56,S,0
884,1,female,17.4,0,0,5.0,S,0
933,2,male,52.5,1,0,58.75,C,0
914,1,female,25.7,0,1,47.0,S,0
755,3,male,61.8,1,0,22.64,S,0
185,2,male,41.4,0,1,27.89,S,0
699,3,male,21.3,0,0,13.24,S,0
627,1,male,28.8,1,0,105.21,S,1
104,2,female,46.1,4,1,33.61,S,0
709,2,male,31.7,0,0,23.33,S,0
549,3,male,45.6,0,1,15.69,C,0
507,2,male,71.3,0,0,17.08,S,0
26,3,male,29.7,0,3,17.36,Q,0
651,2,male,62.7,0,0,24.77,S,0
180,2,female,39.3,0,0,15.96,S,0
796,2,female,33.2,1,0,9.01,S,0
564,3,female,23.5,0,0,5.0,C,0
335,3,female,35.5,0,0,5.0,S,0
679,1,female,40.8,1,2,9.22,S,0
761,3,female,53.7,2,1,27.5,C,1
267,3,male,37.3,0,1,19.23,S,0
628,3,male,55.4,0,0,33.83,S,0
984,2,male,46.0,0,1,65.61,S,0
5,3,female,5.7,0,0,32.82,S,1
421,2,male,36.4,0,1,5.0,Q,1
666,2,male,9.4,2,0,33.91,S,0
513,3,female,36.5,1,0,5.0,S,0
386,2,female,23.1,0,2,11.21,S,0
971,2,female,30.8,1,0,52.24,Q,0
252,1,male,40.1,1,0,47.74,S,1
117,1,male,38.5,1,1,5.0,C,0
968,2,male,23.9,2,2,8.73,S,0
532,2,male,20.9,1,0,80.76,S,0
49,1,female,45.2,2,1,35.91,S,0
643,1,female,65.8,0,0,28.74,C,0
940,1,male,48.0,1,1,5.0,S,0
325,1,male,62.3,1,0,86.71,S,0
570,3,female,37.8,0,0,29.04,C,0
392,3,male,35.8,0,1,5.0,S,0
791,2,male,23.8,0,0,19.44,S,0
851,3,male,29.6,0,0,13.78,S,0
994,1,male,54.7,0,0,57.15,S,0
706,3,female,20.4,0,0,5.0,S,0
631,3,male,59.2,1,0,41.11,S,0
261,2,male,31.4,2,0,18.18,S,0
196,2,male,21.6,1,0,29.03,S,0
765,3,male,40.1,1,0,15.19,Q,0
178,2,male,37.4,2,0,5.0,Q,0
939,1,male,49.1,1,1,9.08,S,0
682,1,male,44.4,0,0,133.55,S,0
454,2,male,66.2,1,0,15.06,S,0
948,3,male,1.0,0,0,11.48,S,0
239,2,male,19.1,0,0,6.92,C,0
47,3,female,48.1,0,2,67.06,C,0
143,2,female,3.0,0,0,7.15,C,0
209,1,male,21.8,2,1,5.0,S,0
561,1,male,33.9,0,0,5.0,S,0
904,1,male,58.8,0,0,18.34,S,0
201,3,male,40.1,1,0,14.38,S,0
