PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,UserToken,ProductCode
202,2,female,56.1,4,2,5.0,S,0,vx6v23fxkkiy,PROD-0002
203,2,female,36.4,0,1,13.53,S,0,nphh72x09d5d,PROD-0269
204,3,female,44.7,1,1,16.3,S,1,thtpjudcnapx,PROD-0598
205,3,female,4.2,2,1,18.57,S,1,zd9wjknz1oyy,PROD-0177
206,3,female,34.3,0,0,8.19,S,0,hohp3cmlmtvg,PROD-0144
207,1,female,22.4,0,1,126.2,C,1,nov8m5pa6piy,PROD-0158
208,2,male,16.7,0,0,41.53,S,1,v623yox0gcho,PROD-0583
209,1,male,21.8,2,1,5.0,S,0,3elnue8oks12,PROD-0398
210,3,male,30.0,0,0,5.0,C,0,opph348lyfr0,PROD-0391
211,2,male,48.7,1,1,17.93,S,0,57wysoal71nb,PROD-0113
212,2,female,15.1,0,2,48.04,C,1,zp9std9kc9qy,PROD-0542
213,1,male,35.5,0,0,5.0,S,1,irismasxtwut,PROD-0118
214,2,male,27.7,1,3,48.42,S,1,b1htjaod1tti,PROD-0580
215,3,male,30.1,0,0,32.12,S,1,z0w0casxss50,PROD-0571
216,1,male,50.0,2,0,50.08,C,0,fgqombelr4sy,PROD-0340
217,1,female,43.1,0,0,51.87,S,0,fl46rzkxdol1,PROD-0520
218,3,female,55.1,2,1,41.61,S,0,g90yghdltyzb,PROD-0599
219,3,male,32.7,0,0,28.38,Q,1,47n1eid54r99,PROD-0348
220,1,male,24.6,4,0,62.8,S,0,uzeovqjav5c1,PROD-0460
221,2,male,31.6,1,0,30.0,C,1,qfixv9dpxv7p,PROD-0354
222,3,male,38.6,0,0,25.56,S,0,qd67hy34p0en,PROD-0314
223,3,female,37.6,0,0,22.51,Q,1,ef84n0z7awxs,PROD-0200
224,2,female,18.7,0,1,42.01,C,0,q5346j0mpthj,PROD-0392
225,2,male,36.4,0,0,10.46,Q,1,0i882otiw7fd,PROD-0160
226,2,male,38.4,1,1,128.81,S,1,24hq5x1k3av9,PROD-0116
227,1,female,72.8,0,0,48.29,C,0,3jzpybz008bt,PROD-0165
228,3,female,63.2,0,3,5.37,C,0,unjamwgjpfrk,PROD-0006
229,1,male,22.2,0,0,38.09,S,1,lp4mr8mpzx8i,PROD-0560
230,1,male,30.7,0,0,39.57,S,0,lmzhlnk188fk,PROD-0154
231,3,male,13.0,1,0,5.0,Q,0,yhrhalagstw3,PROD-0479
232,3,female,26.1,0,0,16.82,S,1,ro14o3vt53x0,PROD-0260
233,3,male,39.7,1,0,10.27,S,0,kp21q4x2ek0m,PROD-0203
234,2,male,53.1,4,1,6.04,S,0,ol83smvt8fhu,PROD-0136
235,2,female,24.1,0,0,8.85,S,1,qesbendd4nay,PROD-0492
236,2,female,25.2,0,0,41.08,C,1,tuxifyvy2rly,PROD-0308
237,2,male,2.8,0,0,21.13,S,1,4tbtvxvptd65,PROD-0269
238,2,male,32.6,0,3,10.46,S,1,tgo3pxibsewc,PROD-0394
239,2,male,19.1,0,0,6.92,C,0,co6lix9c4x3s,PROD-0481
240,2,female,27.1,2,0,54.08,S,1,ied6znkrncyn,PROD-0393
241,3,male,21.8,1,0,18.5,S,0,5ttier4afmkk,PROD-0280
242,3,female,33.6,0,0,36.25,S,1,wwgd765076ng,PROD-0536
243,1,female,8.6,1,0,16.67,C,1,kg9wl87ckab6,PROD-0537
244,2,male,13.0,0,0,8.96,Q,1,kn0cigfbep1f,PROD-0579
245,1,female,66.9,1,0,42.03,S,0,w9lpafrujl5k,PROD-0054
246,2,male,15.7,0,0,21.7,S,1,tkddykkghhhn,PROD-0534
247,2,male,18.5,1,0,31.02,S,1,bacvrhz2h7as,PROD-0115
248,1,female,62.6,2,0,56.75,S,0,dxb1khv5lg4i,PROD-0372
249,3,male,78.6,1,2,77.25,S,0,9e2smikidj2c,PROD-0394
250,2,male,17.4,2,0,38.24,S,1,6g3u405keeg8,PROD-0123
251,3,male,29.5,0,0,29.29,S,0,v5bj17pfzq96,PROD-0004
252,1,male,40.1,1,0,47.74,S,1,shwmekncm4ol,PROD-0566
253,1,male,60.9,0,0,9.71,S,1,sf0p80me3l0z,PROD-0534
254,2,female,20.2,1,1,11.66,C,1,r4esan73k7sf,PROD-0104
255,1,female,31.3,0,0,39.31,S,0,odt354tq91zy,PROD-0360
256,2,female,46.7,0,0,11.59,S,0,v2x4ysfhjzea,PROD-0090
257,3,female,41.5,0,0,11.41,S,1,j0e3ocqw67t9,PROD-0339
258,1,male,29.4,0,0,63.79,C,0,523i90z860ah,PROD-0190
259,1,female,33.0,1,2,50.76,S,1,gr2h2x376o0e,PROD-0451
260,2,male,14.4,1,0,11.96,S,1,tospfocqcpl5,PROD-0344
261,2,male,31.4,2,0,18.18,S,0,iwl25ss40d3j,PROD-0298
262,2,female,31.0,0,1,52.3,S,1,a0g97hksqtkj,PROD-0408
263,2,male,38.5,2,1,5.0,Q,0,hu1kqlku18vk,PROD-0285
264,3,male,26.7,0,0,38.28,S,0,hu71s1n1fbwo,PROD-0007
265,1,male,42.1,0,0,5.63,S,0,knzgfrdrk7ne,PROD-0357
266,2,male,50.2,1,0,58.61,C,1,2r931yzhbohi,PROD-0466
267,3,male,37.3,0,1,19.23,S,0,9zjgtf7liiau,PROD-0294
268,3,male,40.3,0,1,5.27,S,0,ktr8sjufvrj6,PROD-0105
269,2,female,35.8,0,0,5.0,S,1,fp9hbcthuh3q,PROD-0004
270,2,male,35.0,0,1,5.0,S,1,toqbzob1xx5m,PROD-0177
271,1,male,24.2,1,0,11.91,S,0,1hj8swax2ass,PROD-0460
272,1,male,39.7,0,0,46.13,C,0,t809jxv7u1a4,PROD-0193
273,1,female,33.5,0,0,5.0,C,1,mlsfu147kx3d,PROD-0573
274,3,male,66.4,0,1,40.12,C,0,rg19iz1jhy0d,PROD-0199
275,2,male,58.6,0,0,67.12,S,1,2z9c8ed5r3jf,PROD-0256
276,3,male,40.8,1,0,12.87,S,0,js2qfhfqo6y0,PROD-0456
277,1,female,23.6,2,0,40.12,S,1,0zie3lqx3ylp,PROD-0368
278,3,female,18.3,1,1,5.0,Q,1,vub815adivc4,PROD-0024
279,3,female,52.9,2,1,5.0,C,0,3f040fjv3c3n,PROD-0045
280,1,female,38.9,0,0,8.57,S,1,f00kklt3jdk0,PROD-0117
281,1,male,42.2,1,0,16.63,S,1,xhumocalb3rj,PROD-0522
282,1,male,8.8,0,2,37.15,C,1,6nwzhgrpr8fu,PROD-0013
283,3,male,48.9,0,1,52.19,Q,1,2oa48mhgnflt,PROD-0042
284,1,male,41.8,1,0,14.27,C,0,x6571g442azf,PROD-0466
285,2,male,18.3,0,0,21.58,S,0,b4u0oqzisfu9,PROD-0373
286,2,male,27.9,2,2,120.46,S,1,7xy540d7aday,PROD-0590
287,3,male,39.0,1,2,23.78,S,0,67st6x4qxzsd,PROD-0131
288,2,female,35.8,3,0,15.98,S,0,rybbk29vbr30,PROD-0395
289,2,male,30.6,0,0,51.72,Q,1,xptckyjeqwdf,PROD-0080
290,3,female,33.4,0,0,163.8,S,1,zfuthin8fup4,PROD-0354
291,1,female,31.2,1,1,16.19,S,1,2lgalzgz92mf,PROD-0063
292,3,male,37.3,0,0,33.11,S,0,5b8giobeqm05,PROD-0544
293,1,male,57.1,0,0,73.85,S,0,dj2v5qnkhdl9,PROD-0249
294,2,female,1.0,1,0,13.41,S,0,4dmtu9s52rrn,PROD-0152
295,3,female,31.4,3,2,17.66,S,0,i5ychsbk6lh1,PROD-0590
296,3,male,37.6,1,2,23.35,C,1,47p1owlm0h4u,PROD-0039
297,3,male,39.4,0,2,25.71,S,1,s01xsqtsnffi,PROD-0479
298,2,female,29.4,0,0,40.14,S,1,h64xeg3armkt,PROD-0305
299,2,female,8.6,0,1,36.02,S,1,sb4cvrp3uf54,PROD-0412
300,2,male,39.9,0,1,16.38,S,0,728awueuqgmy,PROD-0156
301,2,male,60.9,0,0,77.04,S,0,45kw9bfjszoj,PROD-0528
302,2,female,12.0,0,0,17.07,C,1,5h9k22lplxfz,PROD-0270
303,2,male,48.0,0,3,8.07,S,0,aikpd6zjuqzu,PROD-0251
304,2,female,30.1,0,0,29.31,Q,1,v7c9zspwvubn,PROD-0273
305,2,male,34.1,0,0,55.05,S,0,ey0d6m5yjttj,PROD-0177
306,2,male,19.2,0,0,9.38,S,0,nds8zme5nvy1,PROD-0191
307,1,male,30.0,0,1,26.85,S,1,jckjx5xtf1t0,PROD-0084
308,3,male,54.5,1,0,11.98,S,1,ac99txjypr60,PROD-0291
309,2,female,43.7,0,1,5.0,C,0,phuoo7i3q9hb,PROD-0284
310,1,male,61.0,2,0,8.34,S,0,wukhl59a927w,PROD-0228
311,3,female,52.7,0,1,35.13,S,1,z43jt37oq276,PROD-0591
312,3,male,41.6,0,0,42.16,S,0,ghsgrvdcp966,PROD-0067
313,1,female,61.2,0,1,7.94,C,1,rw0aq8lfom5c,PROD-0546
314,1,female,41.6,0,1,29.85,S,0,2qprwuywde3f,PROD-0520
315,1,female,47.4,0,0,16.83,C,1,00w9co9zygrf,PROD-0013
316,1,male,30.6,1,0,27.86,S,1,5m02tcc0k367,PROD-0420
317,3,female,36.0,2,1,5.0,C,0,dp6a0t9fr3gl,PROD-0125
318,3,male,24.5,0,0,5.0,S,0,a21ufrld6fm0,PROD-0024
319,1,female,49.8,0,0,6.51,S,1,zpizxka2q48r,PROD-0516
320,3,male,17.3,1,0,10.26,Q,1,j9knx8ken30y,PROD-0069
321,1,male,46.7,0,2,16.43,S,1,usog68w4qhvl,PROD-0179
322,2,male,32.1,0,0,17.1,S,1,tjef3xxu3zns,PROD-0057
323,3,female,52.6,1,0,16.73,S,1,58zvhd0s2bc0,PROD-0085
324,2,female,46.3,0,3,5.0,S,1,j7tqvegcdet7,PROD-0037
325,1,male,62.3,1,0,86.71,S,0,alox3arxnnzz,PROD-0505
326,2,female,46.0,0,0,12.58,S,0,pocqxbeyiath,PROD-0035
327,3,female,11.4,0,0,24.09,C,0,17evvrutu25g,PROD-0455
328,2,male,34.0,0,0,59.53,C,1,aphr63nmoukv,PROD-0094
329,1,male,17.4,1,0,5.0,S,1,jmssccil4nfv,PROD-0548
330,1,female,27.2,0,1,25.11,S,0,ppwmmp4dep94,PROD-0508
331,2,female,57.7,1,0,14.93,C,0,fgybxsptz5nz,PROD-0377
332,2,male,44.6,1,1,50.35,S,0,abz2n2ysbbgr,PROD-0496
333,3,female,24.5,1,0,19.77,S,1,la1kjvohv0er,PROD-0179
334,3,male,19.8,0,0,12.98,S,1,xws0qva5drzh,PROD-0469
335,3,female,35.5,0,0,5.0,S,0,ahwvqzxwu4xt,PROD-0132
336,3,female,16.8,0,0,81.06,S,1,3rjp4w4y185g,PROD-0368
337,1,female,24.9,0,1,5.0,C,1,l0t3t8i71sl6,PROD-0551
338,2,male,39.7,2,0,29.33,Q,0,03mc0b8fevu0,PROD-0434
339,2,male,52.3,0,0,11.13,S,0,34zgrbxs97yh,PROD-0161
340,2,male,44.1,2,0,98.86,S,0,7ggf3sftzequ,PROD-0443
341,3,male,1.0,0,1,5.0,S,1,xxbni7y0y1nk,PROD-0529
342,3,female,39.6,0,0,81.3,S,0,2kmrv0dcusu4,PROD-0533
343,3,male,36.1,0,1,124.08,C,0,h9n9r1ufj5kt,PROD-0443
344,2,male,41.2,1,0,9.48,S,1,qofyqe53mipt,PROD-0439
345,2,male,59.2,0,0,5.0,Q,0,c659qpyxe235,PROD-0470
346,2,male,4.1,0,1,31.89,S,0,g16dp3tvyxhk,PROD-0441
347,1,male,26.1,1,0,9.18,S,0,6emwnn1yvzd6,PROD-0080
